40	2	84	45	70	84	6
66	7	23	27	84	17	99
34	3	67	87	68	80	9
26	86	55	62	79	61	78
100	31	74	56	100	67	19
40	6	3	28	10	9	49
80	93	39	82	54	32	65
46	42	50	49	42	49	54
98	88	5	61	38	75	53
15	85	19	80	53	79	53
18	67	19	82	53	97	90
35	36	75	61	30	85	85
12	6	74	3	36	74	53
68	76	52	46	84	35	7
59	98	71	96	54	28	38
35	46	25	6	68	68	23
94	18	86	66	66	33	79
33	31	64	1	97	74	66
16	64	95	1	81	32	14
33	84	70	54	76	29	79
23	9	97	38	16	68	83
24	92	17	44	77	5	89
29	23	58	54	95	38	10
41	82	68	31	50	79	46
31	5	5	52	19	66	100
68	89	93	38	5	6	20
51	13	2	33	48	94	80
46	62	92	88	35	2	61
48	12	57	98	59	86	82
42	90	11	5	3	53	38
69	53	31	5	47	14	54
71	21	65	40	7	43	36
19	40	63	70	76	47	2
62	65	22	94	97	100	97
8	77	65	2	66	12	17
85	68	65	38	29	8	50
14	73	66	50	26	41	10
52	99	75	71	97	39	9
75	37	43	34	90	29	88
10	42	54	27	71	41	49
45	40	9	38	86	75	69
15	66	92	67	71	55	13
38	93	2	68	70	48	95
9	86	12	67	63	57	94
60	81	7	100	2	78	95
67	79	16	49	54	7	18
58	53	92	20	6	33	47
64	94	16	54	81	81	94
57	51	26	77	72	69	52
34	19	63	76	45	51	10
81	42	21	2	41	5	92
8	12	84	89	95	82	89
70	18	47	78	67	42	27
92	2	34	34	7	17	26
83	52	64	78	77	13	46
46	60	1	54	28	93	94
84	43	35	32	24	25	44
94	52	50	82	56	9	33
2	98	75	95	92	84	87
56	24	87	43	12	52	17
82	10	39	82	100	92	33
75	70	54	93	37	9	5
94	57	70	65	75	28	71
88	1	74	72	57	16	37
78	35	81	18	82	7	70
43	18	17	53	67	63	65
47	36	86	100	69	65	12
47	9	20	13	18	77	19
91	24	39	69	26	87	80
16	62	65	30	41	4	56
4	21	93	69	37	31	6
6	25	40	57	65	87	75
57	10	43	74	84	67	41
15	9	10	71	79	20	35
1	66	92	28	47	100	56
54	91	78	55	100	37	7
59	39	18	29	65	61	74
90	49	89	48	14	2	74
38	71	37	79	45	70	10
71	63	65	27	91	3	76
57	26	84	79	34	90	7
41	42	24	56	42	51	62
32	76	98	18	97	83	52
99	19	58	22	56	74	56
3	34	41	66	81	63	78
93	8	70	63	63	62	37
99	92	47	49	70	65	73
46	47	6	27	52	72	12
12	46	3	70	9	43	79
28	12	43	91	44	79	52
80	18	5	54	71	15	14
3	85	2	17	94	78	70
3	42	73	16	54	19	43
88	31	17	90	46	6	74
91	87	83	30	86	35	87
94	61	81	40	98	88	39
100	61	95	14	46	71	9
14	63	26	94	95	37	86
27	78	4	23	7	18	40
51	4	68	12	25	9	32
7	91	69	36	57	52	76
89	21	38	35	92	12	8
53	19	1	24	10	81	60
57	77	13	37	72	47	50
49	98	12	71	32	64	78
2	3	99	97	17	4	48
40	82	54	64	93	6	95
70	74	43	43	12	64	96
82	23	32	39	20	63	31
3	98	13	3	93	11	82
15	87	16	87	78	28	81
53	17	6	24	37	77	74
99	92	95	40	87	16	14
58	69	50	54	7	97	58
77	55	65	93	11	86	94
84	55	98	93	14	76	29
62	72	76	59	10	83	65
88	9	90	14	86	59	5
44	73	40	62	17	88	26
59	38	25	4	100	23	46
63	80	14	10	28	75	75
24	56	27	45	4	31	87
56	93	95	67	59	62	35
17	5	30	1	64	90	65
94	60	66	54	56	36	89
6	42	25	95	73	31	98
82	32	66	7	17	79	25
84	72	74	35	5	30	76
65	89	7	22	57	5	1
2	20	23	75	22	88	91
25	30	20	99	68	53	73
48	16	89	41	43	75	22
61	86	49	66	20	90	56
66	7	29	100	94	58	30
1	76	24	11	47	74	66
33	87	78	93	87	17	48
52	11	56	63	20	14	36
4	36	59	36	90	27	57
24	29	50	31	80	100	86
100	18	26	68	43	19	20
91	2	30	13	37	61	41
37	61	98	92	48	82	12
8	22	39	80	1	32	75
43	99	34	88	7	62	91
16	52	73	52	87	30	28
73	30	80	70	10	55	82
32	6	13	83	89	32	79
29	25	62	66	89	61	29
14	70	49	45	94	3	38
80	23	55	63	48	36	1
50	69	76	91	77	24	77
42	62	62	9	58	75	59
99	41	20	84	52	40	26
68	92	51	50	69	44	49
27	90	2	94	16	72	35
27	97	75	33	75	54	4
49	27	9	10	69	39	3
99	94	83	76	60	55	37
36	84	6	3	84	65	62
58	30	32	4	54	13	81
69	49	15	44	55	65	34
3	64	41	83	92	62	76
40	30	65	93	51	30	79
29	57	33	20	46	90	25
97	26	49	94	72	46	28
87	41	39	78	60	9	95
48	32	30	74	50	8	70
56	42	96	28	9	63	59
100	43	34	9	9	48	87
25	4	11	48	19	62	96
36	10	88	50	50	16	99
79	9	95	10	30	51	17
31	51	98	20	18	36	31
37	100	4	54	9	6	31
1	84	37	21	30	21	87
92	29	3	91	68	7	83
92	13	30	96	35	98	89
6	78	83	35	26	22	79
15	33	41	40	13	95	46
28	72	90	97	99	85	100
32	84	21	10	76	95	94
80	20	92	85	6	59	14
54	51	79	37	23	63	97
34	77	82	56	78	48	73
75	54	67	36	2	73	56
7	49	80	2	15	70	33
68	19	2	70	45	98	66
65	71	72	64	99	14	83
79	54	79	85	42	62	11
71	55	68	65	68	14	56
13	34	46	72	85	54	44
59	39	12	100	6	87	14
16	21	16	14	61	95	80
53	81	38	50	76	47	56
4	18	61	82	53	95	92
36	52	76	65	43	87	7
71	52	89	64	36	8	49
1	99	19	8	54	78	65
22	14	76	69	66	41	45
96	80	88	45	91	57	16
59	18	36	60	60	6	13
48	51	84	32	50	33	80
35	33	81	17	36	75	2
89	60	69	64	67	6	30
68	45	58	35	60	37	90
78	89	51	57	47	20	13
20	13	18	97	34	59	81
83	48	18	53	39	57	89
16	66	48	42	70	82	43
60	68	26	13	11	86	13
100	91	21	7	27	56	93
27	54	37	7	94	21	49
16	64	17	14	44	15	99
96	3	74	33	7	79	4
71	28	71	62	79	95	90
18	67	51	94	86	54	56
78	81	21	82	58	64	89
86	5	64	3	39	17	21
82	91	46	97	92	77	96
