747	472	90	37
976	618	894	934
215	800	613	130
752	26	427	256
78	638	96	754
619	799	410	694
620	256	984	611
979	577	936	443
601	547	236	109
771	675	869	769
708	232	607	776
655	798	82	418
907	221	599	601
776	212	179	555
312	365	994	419
441	107	97	656
295	384	435	499
801	265	179	461
50	869	877	638
849	933	342	57
116	151	36	111
247	706	594	856
622	169	386	36
545	413	255	632
838	355	808	480
849	622	410	6
682	192	905	914
789	529	464	278
151	317	231	657
895	940	845	214
282	464	156	341
822	218	630	90
264	106	527	83
476	666	161	300
856	452	980	60
639	357	937	253
466	296	211	674
769	491	715	857
498	472	15	570
476	914	98	848
249	836	308	22
806	537	129	473
933	204	950	943
134	145	44	363
951	170	26	240
344	858	37	286
112	864	561	564
707	568	441	40
353	851	656	851
256	167	121	788
222	602	710	187
167	326	419	176
103	250	198	305
729	695	925	478
374	112	711	890
202	929	545	618
880	658	153	520
977	411	842	129
125	826	908	673
831	235	917	678
638	507	590	54
587	465	317	396
690	387	55	987
342	179	801	29
986	194	974	811
841	445	222	562
191	494	272	573
437	185	212	997
755	254	640	65
472	302	715	101
13	865	439	824
284	443	225	807
869	991	582	200
766	427	101	346
5	866	671	60
633	204	324	621
379	594	117	175
921	227	141	395
231	330	20	78
263	699	371	358
477	113	727	411
26	602	273	561
796	147	976	725
392	353	851	335
264	930	678	63
492	679	349	22
972	826	66	774
325	900	403	515
614	461	466	556
758	523	803	58
143	917	224	732
481	551	291	254
93	240	628	206
657	264	100	584
457	611	211	446
701	446	668	420
58	983	898	569
311	235	166	992
712	785	781	778
940	517	123	201
297	594	148	376
109	276	76	840
356	922	213	285
835	345	271	984
496	571	716	223
303	737	760	433
286	167	555	198
341	180	37	831
637	453	290	7
987	111	923	483
927	46	230	341
523	457	416	836
951	4	610	788
604	884	154	679
394	327	72	927
460	68	134	328
789	746	210	404
538	912	663	220
501	307	151	18
468	733	339	826
888	80	72	507
611	60	388	773
96	104	22	305
523	754	747	137
445	745	557	470
411	38	811	188
970	869	484	257
212	905	159	104
399	777	199	530
559	82	484	451
325	590	626	189
780	899	168	187
142	800	4	951
948	491	953	799
900	249	370	901
129	932	636	966
525	888	311	437
486	186	16	162
263	371	124	201
526	928	44	372
101	906	93	837
551	592	382	714
162	657	707	841
615	616	754	799
758	902	440	118
33	197	168	922
143	627	852	667
475	117	32	166
776	592	541	97
684	717	535	233
485	970	979	229
279	105	590	871
852	374	308	56
749	572	709	866
216	554	396	673
