640	549	356	268	239	294	171	590	770	951
886	281	655	242	438	487	914			
331	447	852	291	302	519	18	262	390	920
988	390	375							
345	268	141	995	476	496	391	37		
402	673	235							
325	735	922	775	620	881	464	773	864	
520	241	658	179	157	470	91	889		
193	548	479	910	209					
818	433	162	376	487	461	156	508	124	955
627	259	448	637	695					
603	357	332	821	826	375	593			
398	698	740	391	496	656	325	794	964	
33	447	109	722	635	317	550	94		
930	758	745	382	144					
548	277	86	51	39	566	363	603		
53	531	777	474						
228	133	978	565	737	480	722	227		
14	683	67							
129	761	529	627						
436	231	675	75	139					
183	152	282	489	292	916				
641	651	510	567	23	91	828	38	745	
344	472	406	455	98	435	192	243		
226	101	115	724	404	74				
760	150	264	284	150	108	456	452	220	937
209	952	493							
212	164	542	655	307	649	241	360	110	162
715	591	916	725	922					
499	828	231							
820	358	44	737	177	845				
105	449	546	126	721	16	353			
61	201	475	480	426	766	567			
425	630	674							
618	374	752	748	722	124	429	861		
997	495	268	561	443	563	637	88	945	
172	382	838	230						
554	355	243	464	260	526				
85	21	453	259	650	561	539	98	749	139
706	210	346	336	218	372	176	659	569	
912	434	815	504	785	600	869			
42	435	301	590	331	810	921			
965	324	849	810	116	370	663	387		
884	142	257							
304	14	610							
751	884	200							
511	428	267	436	78	11	756	12	713	966
404	309	735	162	320	36	956	614		
313	545	317	387	129					
214	832	253							
822	227	853	705	345	750	734	773	911	356
418	151	495	842	634	153	989	216	930	713
631	375	627	597	54	460				
235	376	215	772	130	511	922			
902	450	232	708	679	627	394	335		
115	212	154	635						
264	190	90	214	621	550	893	205	596	
54	620	895	62	492	819	31			
250	406	589	161	885					
575	189	796	559						
923	904	743	666	247	636	468	884		
912	564	80	155	616	383	586	58		
700	421	486	857	609	322	745			
831	400	500	17	621	864	738	390	917	
813	873	837							
220	813	781	930	644					
324	439	493	829	555	272	44	920	33	866
653	609	946	313	272	432	302	474		
537	887	256	668	604	505	633	38		
353	12	334	105	157	106	815	999	623	
726	683	503	861						
618	491	233	474	421	289	828	728		
754	383	689	987	728					
536	195	341	700	337	344	118	22	387	
556	852	674							
524	519	981							
763	162	807	887	871	902	155	114	741	
717	647	57	390	156	422	28	240	831	
955	174	76	252	143	716	70			
417	833	324	656	185	304				
65	560	951							
596	567	895							
174	431	796	825	501	709	823	946	756	963
427	496	98	857	449					
643	598	34	981	408	455				
924	38	940	682	810	523	719			
240	191	532	269	824	342	893	401	520	
284	236	729	568	555	193	924			
231	1000	656	808	846	306	674			
741	253	816	92	179	865	445	888	96	540
614	41	64	362	894					
698	514	766	783	120					
665	125	230	578	929	540				
603	844	635	783	647	564	609	174	435	415
285	440	76	193	74	58	573	296		
913	288	979	966	365	507	880	641		
903	282	662	527						
977	712	588							
837	957	749	833						
21	660	425							
416	26	694	295	376					
196	351	99	443	740	153				
180	265	741	931	481					
51	57	690	784	212	734	672			
