707	749	417	690	451	541	197	396
843	91	236	856	147	220	596	712
714	979	829	486	124	621	247	636
840	777	493	171	905	861	307	256
993	907	572	516	850	829	140	670
916	638	471	478	290	423	905	810
33	172	882	767	282	106	829	968
193	503	814	361	276	369	807	791
802	265	682	409	940	900	873	402
434	722	892	666	973	247	209	531
687	113	242	151	413	278	375	904
770	826	931	369	757	876	700	544
949	472	506	962	993	195	6	22
349	15	390	913	768	587	476	310
705	997	581	797	935	378	374	391
892	599	321	963	464	119	94	857
364	137	381	73	864	982	619	76
942	95	333	423	218	306	990	780
212	161	331	480	525	869	887	776
981	621	369	727	34	693	563	746
76	224	76	185	625	678	123	816
155	903	838	633	532	207	231	741
681	426	883	122	204	245	783	246
625	545	862	631	986	414	364	931
142	188	203	557	654	398	284	468
775	307	266	665	44	13	644	144
165	521	134	302	988	948	868	144
966	703	67	934	282	276	29	111
188	517	676	835	438	866	737	95
800	47	131	925	685	857	967	501
622	972	246	673	566	869	335	263
392	606	439	557	691	34	405	931
651	624	732	510	410	867	185	602
207	389	650	473	343	806	741	942
787	843	541	839	37	615	616	635
934	646	98	695	131	453	224	948
528	671	441	828	58	978	525	83
782	734	556	166	923	552	203	150
778	980	794	842	870	744	657	110
241	278	796	306	557	314	206	673
396	735	637	657	542	181	225	21
973	746	847	156	626	320	360	756
556	17	882	924	32	983	676	65
929	778	662	155	465	991	797	963
600	159	135	857	386	970	491	602
44	218	727	980	713	336	96	850
75	153	441	292	972	381	214	274
93	735	759	969	716	367	502	618
721	60	49	153	220	817	59	903
786	896	434	229	466	819	784	702
646	286	64	985	431	624	785	713
303	105	778	372	135	516	258	501
455	245	811	57	637	834	664	332
601	760	733	131	875	220	175	550
486	257	189	708	660	334	883	691
465	172	940	108	892	330	2	679
880	162	149	801	463	774	127	433
283	191	168	250	569	654	309	163
478	206	302	909	904	899	639	985
198	981	606	724	304	652	307	780
317	643	682	449	294	972	366	773
887	747	456	337	866	796	793	860
786	658	480	4	1000	839	262	381
174	729	103	911	452	42	905	603
218	38	245	209	976	898	359	432
835	235	613	895	156	303	61	484
935	735	941	352	811	587	243	359
731	419	334	611	522	849	609	473
676	181	287	506	731	474	424	503
398	570	66	11	117	494	871	230
54	983	206	916	69	787	633	230
152	1	111	252	746	620	385	124
210	954	306	559	258	133	396	802
575	955	402	34	745	62	452	37
572	731	255	690	702	394	889	856
415	157	151	965	965	166	36	157
724	685	899	920	670	307	874	812
530	116	159	135	758	352	405	317
569	594	95	581	618	860	201	800
858	156	299	491	650	334	354	554
658	707	93	995	499	766	222	353
61	405	933	394	525	795	399	246
873	333	439	473	655	822	396	335
773	801	529	779	388	154	22	530
270	935	788	672	444	633	750	717
436	807	602	333	865	133	112	845
30	559	937	945	466	919	505	383
447	958	668	847	808	352	823	530
766	933	396	252	812	864	528	514
624	263	828	438	321	757	502	975
205	926	996	739	357	320	512	695
243	687	487	33	831	981	167	360
817	282	517	465	389	423	846	967
723	449	655	271	424	771	967	484
579	475	454	135	866	629	495	138
599	841	969	239	402	133	28	730
658	396	699	246	867	587	112	92
428	475	738	237	35	264	762	600
92	414	190	705	513	807	883	376
951	543	437	988	204	819	518	116
117	649	243	304	889	699	933	137
490	57	709	367	192	438	244	767
686	460	634	54	754	777	501	467
448	63	607	779	653	919	42	516
614	412	54	770	638	134	393	342
930	154	690	478	22	124	742	444
14	997	305	416	255	566	999	376
492	410	307	854	279	968	916	850
73	753	451	69	752	626	80	974
934	423	531	739	102	807	691	53
536	841	72	648	150	624	712	897
811	766	797	705	102	495	483	361
379	562	183	148	809	378	466	869
850	273	215	986	810	815	921	827
967	954	687	945	786	960	493	173
2	206	38	562	930	914	89	296
904	878	662	960	315	988	404	994
502	415	396	293	191	597	969	283
993	106	332	660	841	870	84	622
799	680	847	717	38	683	140	722
853	768	138	160	220	91	897	395
644	528	689	271	369	328	442	374
535	342	380	297	795	837	449	713
233	361	867	529	820	720	21	462
395	814	607	722	597	78	385	593
723	281	615	546	984	444	771	228
441	485	493	109	718	627	835	480
621	553	942	712	850	189	122	696
384	363	40	257	71	146	488	800
303	852	61	672	319	146	549	888
237	803	382	571	219	220	917	368
785	187	579	290	363	717	340	314
21	839	521	703	196	360	617	194
828	56	217	823	359	888	463	893
594	245	69	605	703	779	585	337
842	722	86	910	596	691	860	52
719	397	316	458	36	968	428	244
761	573	277	86	101	40	502	636
587	797	312	61	740	452	734	4
769	565	28	336	554	361	700	388
51	412	784	664	257	100	98	701
460	514	193	203	159	188	76	37
186	350	655	742	885	281	915	152
256	331	647	428	375	945	66	619
443	85	413	336	221	42	369	58
768	327	441	512	611	738	787	923
858	732	349	374	967	52	493	147
369	14	189	11	323	656	874	303
521	507	772	841	271	216	308	832
804	495	886	25	673	789	146	720
762	396	685	948	298	409	436	168
324	533	764	646	583	121	496	738
859	947	154	758	347	275	365	533
436	647	269	565	334	494	430	56
286	758	882	608	191	926	636	516
668	121	755	193	529	151	222	801
729	135	825	899	248	728	449	370
874	926	970	212	239	605	102	714
325	714	528	746	400	966	33	110
893	148	688	518	460	191	772	91
817	79	385	163	67	999	962	278
527	813	620	720	375	124	449	409
303	248	358	874	374	909	310	77
559	169	182	749	901	963	613	129
783	768	33	685	268	889	475	967
203	743	258	861	681	422	40	483
914	497	852	348	30	566	502	543
903	130	964	63	801	426	535	900
457	715	786	15	551	587	34	58
265	436	521	397	138	53	129	564
15	956	213	837	21	29	810	859
416	337	693	204	622	160	253	302
73	61	967	926	868	569	246	211
700	266	244	343	753	712	723	903
255	551	120	510	26	704	939	561
871	89	58	714	123	97	926	615
228	656	704	833	693	296	144	431
444	769	830	973	751	68	109	899
471	168	109	677	9	825	524	68
286	289	346	675	7	442	964	965
196	712	970	83	863	111	11	44
368	74	678	789	730	73	599	963
827	846	187	843	174	574	677	833
996	425	256	420	591	805	335	890
333	441	22	816	497	498	881	193
603	876	206	546	110	804	671	798
630	61	464	384	267	214	187	893
639	659	746	85	497	907	543	923
809	426	31	287	381	173	160	270
273	66	528	3	987	117	236	406
589	767	69	510	656	203	615	249
482	83	311	433	786	289	9	299
598	79	65	270	581	458	957	209
607	970	178	118	849	403	987	812
797	282	397	346	168	412	81	577
805	877	24	230	129	375	467	398
14	234	884	808	360	43	564	691
274	368	377	189	470	611	930	796
475	854	585	266	379	44	816	329
144	346	225	492	868	50	568	792
578	735	315	665	154	69	943	557
799	817	299	388	885	809	998	558
738	407	1	363	782	414	391	448
743	26	363	44	48	1	75	409
13	749	21	367	316	776	937	900
510	73	806	978	648	349	530	838
118	34	324	53	296	188	503	405
805	861	975	732	806	160	756	740
224	597	342	228	680	59	370	687
329	587	474	161	621	950	995	762
669	375	759	132	210	569	522	17
454	139	548	183	479	201	46	74
346	388	423	239	21	744	424	642
893	95	599	369	391	887	181	662
252	167	11	123	114	684	669	397
39	777	340	934	409	191	743	272
340	310	99	818	572	810	920	841
477	944	399	957	439	211	413	307
540	39	323	571	913	941	382	140
594	305	121	7	888	304	471	148
606	579	474	282	274	145	767	74
753	602	621	602	396	123	789	636
630	762	20	919	751	798	110	771
507	763	104	303	549	986	245	425
642	348	676	299	811	839	321	635
41	946	38	528	835	381	256	232
800	270	354	23	218	451	792	609
10	521	924	388	178	982	394	456
662	954	911	778	882	506	959	884
650	670	896	841	922	877	499	290
933	145	688	778	380	80	367	575
462	616	641	864	974	715	58	554
569	405	653	106	959	815	790	85
701	10	567	530	167	328	104	546
393	556	99	131	646	160	33	513
120	232	597	721	119	599	35	132
269	871	862	396	928	210	65	841
581	368	906	241	409	594	813	324
926	374	905	703	605	191	346	168
858	445	966	185	666	510	263	334
829	83	269	803	588	550	421	7
944	130	915	779	953	448	331	986
