10000	3	5
8581	4	
8244	3	
737	3	
8198	2	
8983	5	
3888	4	
5078	4	
4329	4	
7328	5	
459	1	
3828	5	
7042	4	
1087	3	
480	3	
7803	5	
984	2	
8284	3	
1108	5	
2933	5	
4787	2	
8318	5	
8839	4	
5197	1	
7755	4	
7798	3	
4458	1	
7374	4	
8023	3	
8218	5	
772	3	
579	1	
504	2	
1598	2	
5781	5	
7854	5	
1278	5	
3045	2	
5223	2	
1288	5	
8381	5	
5045	4	
8835	4	
2812	3	
1840	1	
3342	4	
2020	2	
4231	4	
8958	4	
8488	2	
842	1	
7558	2	
4214	3	
5579	5	
1777	4	
1175	1	
508	5	
880	5	
4088	2	
9831	4	
3189	2	
9543	5	
3328	3	
8981	2	
9802	4	
148	5	
3433	2	
1747	2	
3883	5	
175	4	
3944	5	
1322	1	
4083	4	
5883	3	
7803	2	
2137	4	
855	1	
7598	2	
9700	4	
9385	1	
2487	3	
742	2	
5909	4	
4928	2	
5122	5	
5249	4	
1058	3	
4871	3	
1132	3	
805	3	
3039	2	
2098	5	
8987	1	
3484	5	
4304	5	
4437	2	
4113	5	
4818	4	
3813	4	
3419	2	
3883	1	
7939	1	
9877	2	
7921	1	
1048	2	
8903	1	
1493	2	
1547	5	
524	3	
3878	1	
390	1	
5052	1	
7044	3	
8140	4	
3335	4	
5485	4	
7088	4	
480	3	
7322	2	
5384	4	
8387	2	
8559	3	
9398	1	
8845	5	
4448	1	
8308	3	
4745	3	
1211	3	
9809	5	
5085	3	
8789	2	
8880	2	
8498	5	
1355	1	
4384	3	
1841	2	
8147	4	
3182	5	
782	2	
7883	5	
7781	5	
8988	5	
9173	4	
8850	3	
7185	4	
8817	4	
8712	1	
2872	4	
1212	2	
2555	3	
4205	4	
9844	2	
9703	3	
8490	4	
4953	3	
3982	2	
8287	4	
5858	4	
1913	1	
1535	3	
4211	1	
8418	3	
3311	2	
7727	1	
5777	1	
8285	2	
2355	5	
7878	4	
2078	5	
947	1	
9380	2	
9802	4	
8548	1	
8838	3	
3877	2	
5890	5	
9827	4	
1725	4	
507	2	
8982	1	
7908	4	
9249	1	
9899	2	
9802	3	
4880	5	
3215	1	
8033	5	
2217	5	
1582	2	
8884	2	
925	5	
