97	82	55
100	71	73
12	46	82
65	99	75
1	83	8
78	27	11
73	29	56
94	34	94
27	1	58
25	37	33
81	12	47
100	34	36
3	24	13
32	69	61
100	70	74
25	80	22
47	59	70
83	5	94
11	29	56
45	7	30
4	26	72
5	9	25
83	20	26
101	15	40
84	77	47
28	78	32
86	75	55
27	71	33
47	46	1
95	90	13
60	38	28
95	54	52
58	80	31
64	56	88
78	31	5
76	18	99
6	67	8
65	96	5
38	46	74
62	99	89
51	58	91
86	42	89
98	19	79
81	90	37
55	59	86
3	24	44
59	20	82
18	30	92
57	46	71
41	99	65
29	94	65
10	37	6
80	94	18
80	10	97
31	32	1
61	51	93
15	72	83
60	68	90
41	74	44
40	6	100
76	81	17
20	75	33
38	70	66
100	101	100
4	83	55
67	62	61
67	63	23
93	16	51
61	74	36
45	88	22
22	91	63
43	63	46
55	93	38
2	59	77
89	25	32
14	61	6
17	21	41
20	40	66
22	48	10
51	96	2
42	27	84
77	86	5
35	40	70
48	17	52
76	8	68
19	1	75
60	68	56
62	40	44
47	5	71
9	93	68
95	40	22
57	11	43
44	51	60
31	19	44
79	80	54
42	43	22
68	82	91
44	21	53
68	47	91
95	78	25
78	5	90
29	32	26
45	61	83
25	85	22
50	93	19
38	61	46
34	86	67
4	60	10
81	47	91
37	10	32
14	18	32
69	23	70
81	20	72
48	67	58
70	42	44
11	52	41
69	51	1
22	33	93
92	64	52
59	37	20
22	84	40
39	81	68
48	29	34
10	69	32
31	97	55
67	25	87
32	58	66
6	49	44
45	43	54
20	21	9
22	37	74
14	28	74
18	100	58
87	15	14
72	88	48
23	95	61
97	13	3
35	90	18
15	68	60
42	7	82
48	50	22
33	23	20
57	15	89
17	95	15
30	78	93
46	22	96
95	76	47
7	38	2
12	27	64
76	16	5
88	60	76
56	66	50
31	100	2
101	79	25
51	38	35
4	38	44
72	41	94
101	85	27
31	18	67
95	91	84
23	36	69
88	37	50
42	1	98
25	42	35
24	41	54
12	83	6
58	97	79
35	2	42
60	70	41
9	83	101
65	49	67
67	76	1
30	36	59
78	88	42
54	84	28
101	87	74
2	61	7
73	60	4
7	4	77
11	31	29
78	84	8
8	79	60
27	9	47
22	36	66
18	71	96
33	78	75
35	6	61
12	64	17
74	41	69
91	28	59
47	78	31
22	94	9
91	54	87
65	49	14
100	14	60
77	73	85
80	58	64
79	12	75
75	6	52
97	23	53
7	6	99
45	89	22
69	71	90
87	56	42
10	17	58
59	64	80
14	14	24
61	63	76
12	20	75
84	97	80
96	61	59
