45	127	44	68	107	22
108	12	124	42	118	110
111	37	121	95	121	113
119	59	93	144	50	40
69	148	98	84	97	116
31	83	145	83	78	26
54	74	31	36	62	134
119	51	149	75	149	83
108	118	36	100	101	36
59	129	94	121	131	114
112	35	61	86	133	128
30	79	121	121	41	43
111	83	23	111	71	48
141	147	30	53	145	23
87	103	33	83	42	123
131	137	135	137	20	91
63	36	142	11	95	63
37	148	49	67	130	47
54	27	44	68	99	54
103	84	17	121	139	88
118	138	49	140	140	12
71	67	62	45	91	73
130	124	134	95	131	64
15	145	145	137	52	125
96	70	29	50	136	36
117	96	30	18	55	122
85	117	45	102	85	137
72	53	22	103	42	96
57	33	51	51	134	132
96	115	60	15	105	88
40	68	63	138	62	18
61	145	75	49	95	61
115	22	88	71	13	38
54	55	140	56	139	27
17	41	11	133	70	25
124	83	100	141	47	150
68	81	83	112	16	93
136	46	75	50	128	140
61	141	139	79	132	27
110	98	92	112	84	68
38	54	100	54	66	109
139	32	63	22	80	52
135	19	107	113	129	74
97	31	45	148	61	100
64	59	54	112	127	70
10	107	127	59	74	81
77	57	17	121	109	73
136	63	44	83	128	78
106	86	45	130	38	74
94	47	92	105	140	22
90	119	19	118	86	63
67	96	80	109	19	109
84	74	49	76	136	28
85	72	95	138	50	27
13	116	50	32	129	54
83	28	110	29	21	97
127	85	77	56	120	74
85	27	72	145	134	125
136	17	82	137	71	129
145	17	121	97	96	34
10	141	62	134	37	93
105	150	20	118	122	145
81	27	109	88	41	75
11	22	83	132	72	16
34	92	52	54	134	31
103	94	90	140	94	90
35	10	135	112	11	15
49	17	52	69	135	72
98	74	145	131	117	59
39	137	114	81	60	111
129	42	131	142	101	29
123	59	130	57	98	16
136	10	61	56	31	141
93	69	141	103	31	107
133	115	133	128	81	44
90	74	88	22	35	96
109	93	65	48	107	121
38	105	53	144	99	32
39	33	56	84	19	55
48	38	131	98	78	54
41	102	69	115	26	146
51	63	17	129	23	126
115	25	132	56	81	129
107	41	107	129	58	95
133	136	45	46	120	21
51	44	99	136	50	113
95	102	65	92	120	45
91	78	96	25	146	17
41	108	132	68	121	97
105	149	80	76	86	149
129	42	113	11	47	103
119	70	59	146	41	61
26	16	48	59	103	84
89	55	60	105	15	94
95	148	42	57	46	46
49	135	76	147	23	55
93	75	130	50	62	64
23	29	143	97	29	100
51	34	133	27	91	23
114	119	24	83	87	49
70	118	34	73	140	72
107	59	117	52	147	147
21	139	103	129	123	26
112	76	108	17	41	63
63	150	30	12	19	56
94	69	150	25	141	45
80	142	93	93	67	97
125	73	149	65	104	79
44	87	57	147	83	34
41	63	74	63	108	131
134	84	88	128	14	68
43	62	56	40	27	25
112	106	30	112	21	42
77	140	135	12	55	96
12	36	136	72	44	27
79	141	17	127	82	111
24	131	14	73	104	12
33	118	77	77	94	119
33	43	119	124	118	63
137	110	86	99	28	63
102	126	143	38	33	16
33	106	38	95	10	64
58	40	95	149	60	58
12	129	57	149	67	97
103	112	15	23	28	38
106	97	33	90	36	88
44	124	47	113	115	137
15	104	93	83	72	74
46	104	41	21	41	120
140	51	119	89	71	138
121	31	39	114	12	45
95	72	150	84	93	68
10	104	56	142	11	93
134	89	59	32	135	76
108	51	93	118	24	71
55	56	103	80	37	112
149	100	137	74	92	48
55	136	35	29	38	128
116	18	147	122	150	55
145	148	61	27	75	102
88	31	39	24	110	124
10	28	53	61	98	109
126	90	132	110	59	147
24	111	14	17	137	147
147	15	16	146	69	140
127	81	60	140	57	110
104	34	74	143	46	34
67	25	82	86	42	100
84	139	17	65	134	15
34	13	140	54	27	59
66	117	43	11	145	45
16	33	24	16	80	41
103	61	138	145	63	56
34	106	24	49	71	98
26	46	134	84	106	121
86	32	104	112	30	17
72	36	45	132	110	57
150	26	141	33	13	115
73	98	37	24	63	125
37	78	33	36	118	78
74	55	15	118	81	120
111	114	31	57	83	38
117	112	33	21	33	79
31	75	102	127	80	104
146	105	100	59	108	70
121	148	111	105	25	138
90	71	71	80	144	68
118	125	39	29	24	34
84	39	57	12	23	82
104	29	40	50	124	82
37	97	141	48	94	83
145	136	11	40	27	34
79	95	79	84	142	92
138	38	28	18	52	126
46	124	141	29	17	55
71	12	118	96	135	120
137	73	35	41	126	61
66	108	82	146	81	75
58	139	10	96	61	97
98	107	137	19	109	53
34	118	146	110	100	41
129	100	47	49	16	141
31	142	79	121	57	90
112	38	115	43	64	74
44	44	104	103	100	52
83	128	42	15	88	33
114	24	35	81	50	63
94	64	53	109	129	49
127	38	49	108	50	74
146	111	85	40	133	54
113	39	98	147	104	71
100	15	83	103	40	142
91	14	37	125	54	119
21	120	32	124	40	105
68	39	140	144	35	48
146	15	116	107	51	65
59	86	100	107	61	32
68	68	84	44	14	28
93	74	111	14	22	26
41	101	95	81	59	136
94	61	144	123	149	144
44	143	39	28	107	50
60	86	115	73	25	147
149	38	41	112	146	139
96	71	104	79	140	102
148	109	33	23	13	23
91	16	93	36	13	148
19	43	105	107	150	74
85	115	19	36	146	142
136	112	65	12	13	55
135	34	144	54	15	85
141	147	16	110	144	23
133	10	92	65	91	110
71	19	101	76	47	141
111	18	88	35	18	51
37	113	93	130	74	16
13	124	10	79	18	76
78	42	42	54	138	88
55	126	35	107	112	119
